case_id,execution_id,series_index,precision,recall,f1,source_file,source_locator,label,status
PS005,PS005-ENV01,15,0.667,0.632,0.649,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 16,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,16,1.000,0.875,0.933,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 17,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,17,0.843,1.000,0.915,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 18,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,18,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 19,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,19,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 20,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,20,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 21,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,21,0.333,0.714,0.455,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 22,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,22,1.000,0.933,0.966,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 23,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,23,0.600,1.000,0.750,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 24,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,24,0.842,0.667,0.744,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 25,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,25,0.360,0.574,0.443,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 26,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,26,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 27,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,27,0.750,0.429,0.545,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 28,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,28,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 29,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,29,0.800,0.800,0.800,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 30,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,30,0.212,1.000,0.351,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 31,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,31,0.400,0.667,0.500,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 32,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,32,0.571,0.800,0.667,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 33,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,33,0.600,0.600,0.600,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 34,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,34,0.708,0.938,0.806,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 35,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,35,0.200,1.000,0.333,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 36,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,36,0.352,1.000,0.521,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 37,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,37,0.429,0.111,0.176,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 38,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,38,0.750,0.667,0.706,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 39,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,39,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 40,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,40,1.000,0.972,0.986,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 41,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,41,0.286,0.200,0.235,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 42,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,42,0.167,0.042,0.067,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 43,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,43,0.300,1.000,0.462,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 44,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,44,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 45,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,45,0.318,1.000,0.483,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 46,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,46,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 47,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,47,0.615,0.727,0.667,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 48,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,48,1.000,0.824,0.903,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 49,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,49,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 50,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,50,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 51,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,51,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 52,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,52,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 53,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,53,0.843,1.000,0.915,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 54,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,54,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 55,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,55,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 56,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,56,0.444,0.500,0.471,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 57,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,57,0.050,0.042,0.045,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 58,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,58,0.444,1.000,0.615,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 59,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,59,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 60,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,60,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 61,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,61,0.312,0.294,0.303,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 62,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,62,0.833,0.714,0.769,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 63,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,63,0.900,0.783,0.837,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 64,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,64,0.303,0.789,0.438,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 65,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,65,0.556,1.000,0.714,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 66,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV01,66,0.267,0.500,0.348,evidence/PS005/outputs/ps005_series_metrics_env01.txt,metric row 67,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,0,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 1,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,1,0.929,1.000,0.963,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 2,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,2,1.000,0.737,0.848,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 3,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,3,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 4,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,4,0.643,1.000,0.783,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 5,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,5,0.154,1.000,0.267,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 6,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,6,0.571,1.000,0.727,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 7,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,7,0.600,1.000,0.750,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 8,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,8,0.956,0.665,0.784,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 9,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,9,0.300,1.000,0.462,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 10,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,10,0.914,0.656,0.764,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 11,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,11,0.765,0.812,0.788,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 12,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,12,0.400,0.061,0.105,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 13,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,13,0.353,1.000,0.522,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 14,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,14,0.887,1.000,0.940,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 15,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,15,0.667,0.632,0.649,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 16,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,16,1.000,0.875,0.933,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 17,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,17,0.843,1.000,0.915,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 18,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,18,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 19,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,19,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 20,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,20,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 21,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,21,0.333,0.714,0.455,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 22,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,22,1.000,0.933,0.966,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 23,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,23,0.600,1.000,0.750,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 24,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,24,0.842,0.667,0.744,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 25,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,25,0.360,0.574,0.443,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 26,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,26,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 27,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,27,0.750,0.429,0.545,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 28,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,28,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 29,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,29,0.800,0.800,0.800,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 30,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,30,0.212,1.000,0.351,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 31,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,31,0.400,0.667,0.500,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 32,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,32,0.571,0.800,0.667,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 33,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,33,0.600,0.600,0.600,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 34,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,34,0.708,0.938,0.806,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 35,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,35,0.200,1.000,0.333,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 36,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,36,0.352,1.000,0.521,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 37,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,37,0.429,0.111,0.176,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 38,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,38,0.750,0.667,0.706,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 39,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,39,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 40,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,40,1.000,0.972,0.986,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 41,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,41,0.286,0.200,0.235,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 42,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,42,0.167,0.042,0.067,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 43,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,43,0.300,1.000,0.462,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 44,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,44,0.400,1.000,0.571,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 45,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,45,0.318,1.000,0.483,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 46,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,46,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 47,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,47,0.615,0.727,0.667,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 48,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,48,1.000,0.824,0.903,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 49,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,49,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 50,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,50,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 51,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,51,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 52,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,52,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 53,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,53,0.843,1.000,0.915,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 54,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,54,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 55,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,55,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 56,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,56,0.444,0.500,0.471,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 57,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,57,0.050,0.042,0.045,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 58,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,58,0.444,1.000,0.615,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 59,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,59,1.000,1.000,1.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 60,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,60,0.000,0.000,0.000,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 61,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,61,0.312,0.294,0.303,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 62,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,62,0.833,0.714,0.769,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 63,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,63,0.900,0.783,0.837,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 64,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,64,0.303,0.789,0.438,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 65,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,65,0.556,1.000,0.714,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 66,OUR-OBSERVED,READY-FOR-REVIEW
PS005,PS005-ENV02,66,0.350,0.875,0.500,evidence/PS005/outputs/ps005_series_metrics_env02.txt,metric row 67,OUR-OBSERVED,READY-FOR-REVIEW
