claim_id,case_id,label,claim,raw_evidence,transformation,normalized_evidence,matrix_field,manuscript_location,status,supporting_claim_ids,notes
PS003-C005,PS003,OUR-OBSERVED,The recovered outputs demonstrate successful benchmark execution on all three tested JDKs.,evidence/PS003/outputs/jdk17-run1.txt; evidence/PS003/outputs/jdk21-run1.txt; evidence/PS003/outputs/jdk25-run1.txt,Direct observation,,E,,READY-FOR-REVIEW,,Build success is indirectly evidenced by execution; no separate build log was recovered.
PS004-C001,PS004,OUR-OBSERVED,"The retained environment used Python 3.10.0, torch 2.0.0+cpu, and numpy 1.23.5.",evidence/PS004/environment/ps004_system_info.txt,Direct extraction,,I,,READY-FOR-REVIEW,,Source identifier is retained in the same file.
PS004-C002,PS004,OUR-OBSERVED,The retained portability patch removed an unused import and added CPU-aware map_location arguments to model loads.,evidence/PS004/interventions/ps004_portability_patch.diff,Direct diff inspection,,E,,READY-FOR-REVIEW,,Non-scientific portability intervention.
PS004-C003,PS004,OUR-OBSERVED,The retained FreqShape run terminated with a Windows cp1252 UnicodeEncodeError while printing a full-width colon.,evidence/PS004/raw/ps004_reproduction_run1.txt,Direct log extraction,,E,,READY-FOR-REVIEW,,No completed scientific output is retained.
PS004-C004,PS004,INFERENCE,PS004 remained partially executable and environment-coupled after the retained portability intervention.,evidence/PS004/interventions/ps004_portability_patch.diff; evidence/PS004/raw/ps004_reproduction_run1.txt,Conservative inference,,E,,READY-FOR-REVIEW,PS004-C002;PS004-C003,RL3 remains provisional because the complete before/after chain is unavailable.
PS005-C001,PS005,OUR-OBSERVED,The repaired Python 3.6 container installed the pinned dependency set successfully.,evidence/PS005/raw/ps005_build_env02_r1.txt,Direct build-log extraction,,I,,READY-FOR-REVIEW,,Pinned versions are listed in the retained log.
PS005-C002,PS005,OUR-OBSERVED,"The repaired Yahoo execution completed 67 series and reported aggregate precision 0.526, recall 0.688, and F1 0.556.",evidence/PS005/raw/ps005_run_env02_r1.txt,Direct final-log extraction,evidence/PS005/normalized/yahoo_metrics.csv,N,,READY-FOR-REVIEW,,Exact final line retained.
PS005-C003,PS005,OUR-OBSERVED,Two complete per-series metric logs were recovered and have identical content.,evidence/PS005/outputs/ps005_series_metrics_env01.txt; evidence/PS005/outputs/ps005_series_metrics_env02.txt,SHA-256 and row comparison,evidence/PS005/normalized/yahoo_metrics.csv,N,,READY-FOR-REVIEW,,Retained separately as historical originals.
PS005-C004,PS005,INFERENCE,"The artifact was executable after dependency repair, while numerical fidelity to the publication remains only partially established.",evidence/PS005/raw/ps005_build_env02_r1.txt; evidence/PS005/raw/ps005_run_env02_r1.txt,Conservative inference,,N,,READY-FOR-REVIEW,PS005-C001;PS005-C002,Do not equate successful execution with full author-result fidelity.
PS006-C001,PS006,OUR-OBSERVED,The retained executions reached initialization and produced program output.,evidence/PS006/raw/ps006_run_ootb01.txt; evidence/PS006/raw/ps006_run_r1.txt,Direct log extraction,,E,,READY-FOR-REVIEW,,Compilation is supported indirectly; no separate compile transcript was found.
PS006-C002,PS006,OUR-OBSERVED,The extended retained run repeatedly emitted size less than 3 and input 0 0.,evidence/PS006/raw/ps006_run_r1_900.txt,Direct log extraction,,E,,READY-FOR-REVIEW,,Supports the BBFS/data-workflow barrier.
PS006-C003,PS006,INFERENCE,PS006 reached executable code but did not retain evidence of a completed end-to-end scientific experiment.,evidence/PS006/raw/ps006_run_r1.txt; evidence/PS006/raw/ps006_run_r1_900.txt,Conservative inference,,E,,READY-FOR-REVIEW,PS006-C001;PS006-C002,"Classify as workflow constraint, not algorithm failure."
PS007-C001,PS007,AUTHOR-REPORTED,The executable artifact is a VirtualBox VM because BenchExec does not run in Docker.,evidence/PS007/raw/README.md,Direct extraction,,H,,READY-FOR-REVIEW,,Artifact README.
PS007-C002,PS007,AUTHOR-REPORTED,The artifact documents eight CPU cores and distinct full/reduced resource requirements.,evidence/PS007/raw/README.md,Direct extraction,,H,,READY-FOR-REVIEW,,Artifact README requirements section.
PS007-C003,PS007,OUR-OBSERVED,No standalone VM import or startup transcript was recovered.,evidence/MISSING_EVIDENCE.csv,Recovery tracker review,,H,,TRACE-INCOMPLETE,,The protected VERR_UNRESOLVED_ERROR observation is not promoted as publication-grade raw evidence.
PS007-C004,PS007,INFERENCE,The case remains infrastructure-constrained and E is N/A rather than FAIL.,evidence/PS007/raw/README.md; evidence/MISSING_EVIDENCE.csv,Conservative prerequisite classification,,E,,READY-FOR-REVIEW,PS007-C001;PS007-C003,Do not reinterpret the VM startup problem as algorithm failure.
PS008-C001,PS008,OUR-OBSERVED,Current selected variants reported PASSED checksum results,evidence/PS008/outputs/current/PS008_CURRENT_FINAL-checksum.txt,Direct extraction,evidence/PS008/normalized/selected_results.csv,N,,READY-FOR-REVIEW,,Selected DAXPY TRIAD and REDUCE_SUM variants.
PS008-C002,PS008,OUR-OBSERVED,Historical selected variants had zero checksum differences,evidence/PS008/outputs/historical/PS008_HIST_FINAL-checksum.txt,Direct extraction,evidence/PS008/normalized/selected_results.csv,N,,READY-FOR-REVIEW,,Historical format does not print PASSED labels.
PS008-C003,PS008,OUR-OBSERVED,Current Base_Seq runtimes were 0.675188 1.662521 and 0.100516 seconds for DAXPY TRIAD and REDUCE_SUM,evidence/PS008/outputs/current/PS008_CURRENT_FINAL-timing-Average.csv,Direct CSV extraction,evidence/PS008/normalized/selected_results.csv,P,,READY-FOR-REVIEW,,Aggregation described by source as Mean Runtime.
PS008-C004,PS008,OUR-OBSERVED,Historical Base_Seq runtimes were 2.010450 5.633594 and 0.268251 seconds for DAXPY TRIAD and REDUCE_SUM,evidence/PS008/outputs/historical/PS008_HIST_FINAL-timing-Average.csv,Direct CSV extraction,evidence/PS008/normalized/selected_results.csv,P,,READY-FOR-REVIEW,,Aggregation described by source as Mean Runtime.
PS008-C005,PS008,INFERENCE,Performance values were not preserved across the two reconstructed configurations,evidence/PS008/outputs/current/PS008_CURRENT_FINAL-timing-Average.csv; evidence/PS008/outputs/historical/PS008_HIST_FINAL-timing-Average.csv,Conservative paired configuration comparison,evidence/PS008/normalized/selected_results.csv,P,,READY-FOR-REVIEW,PS008-C003;PS008-C004,No causal attribution to RAJAPerf version.
PS008-C006,PS008,OUR-OBSERVED,The recovered configurations used different RAJAPerf commits,evidence/PS008/environment/repository_states_2026-08-15.txt,Direct Git inspection,,A,,READY-FOR-REVIEW,,Current and historical commits retained separately.
PS009-C001,PS009,OUR-OBSERVED,Recovered repository working tree identifies commit d31c997580ef1a58c13c69fe02dadcb3e0e95105,evidence/PS009/environment/recovered_repository_inspection_2026-08-15.txt,Direct extraction: lines 1-5,,A,,READY-FOR-REVIEW,,Inspection records current recovery state of historical folder.
PS009-C002,PS009,OUR-OBSERVED,Recovered EP Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_ep_r1.txt,Direct extraction: line 30,evidence/PS009/normalized/benchmark_results.csv,N,,READY-FOR-REVIEW,,Header identifies OpenMP C++; attribution requires review.
PS009-C003,PS009,OUR-OBSERVED,Recovered CG Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_cg_r1.txt,Direct extraction: lines 23 and 35,evidence/PS009/normalized/benchmark_results.csv,N,,READY-FOR-REVIEW,,Header identifies SER C++.
PS009-C004,PS009,OUR-OBSERVED,Recovered MG Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_mg_r1.txt,Direct extraction: lines 9 and 21,evidence/PS009/normalized/benchmark_results.csv,N,,READY-FOR-REVIEW,,Header identifies OpenMP C++; attribution requires review.
PS009-C005,PS009,INFERENCE,The recovered build required a non-algorithmic portability intervention before successful benchmark execution,evidence/MISSING_EVIDENCE.csv,Requires before/after intervention evidence,,B,,TRACE-INCOMPLETE,PS009-C002;PS009-C003;PS009-C004,RL3 remains provisional because the raw intervention sequence was not found.
PS009-C006,PS009,OUR-OBSERVED,The retained OOTB EP build attempt failed while compiling a generated npbparams.hpp with missing terminating quote errors,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,Direct extraction: lines 1-112,,B,,READY-FOR-REVIEW,,Raw file recovered unchanged and included in SHA-256 evidence manifest; researcher review required.
PS009-C007,PS009,OUR-OBSERVED,The retained OOTB CG build attempt failed while compiling a generated npbparams.hpp with missing terminating quote errors,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,Direct extraction: lines 113-224,,B,,READY-FOR-REVIEW,,Raw file recovered unchanged and included in SHA-256 evidence manifest; researcher review required.
PS009-C008,PS009,OUR-OBSERVED,No EP executable was present after the retained failed OOTB build attempts,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,Direct extraction: lines 225-229,,E,,READY-FOR-REVIEW,PS009-C006,This establishes only the captured OOTB session state; it does not address repaired execution.
PS009-C009,PS009,OUR-OBSERVED,The recovered NPB-SER config/make.def matched the Git working-tree version and retained CRLF line endings,evidence/PS009/raw/npb_ser_config_make.def,SHA-256 retention; git diff empty; byte scan found 103 CRLF and zero lone LF,,B,,READY-FOR-REVIEW,PS009-C001,Supports pre-repair condition but not the missing intervention sequence.
PS009-C010,PS009,INFERENCE,The three recovered successful outputs cannot yet be treated as one homogeneous SER execution,evidence/PS009/outputs/ps009_ep_r1.txt; evidence/PS009/outputs/ps009_cg_r1.txt; evidence/PS009/outputs/ps009_mg_r1.txt,Compare implementation labels on line 1,evidence/PS009/normalized/benchmark_results.csv,E;N,,READY-FOR-REVIEW,PS009-C002;PS009-C003;PS009-C004,EP and MG identify OpenMP C++; CG identifies SER C++.
PS010-C001,PS010,OUR-OBSERVED,The modern installation log ends with DONE (mgm).,evidence/PS010/raw/ps010_e2_install_mgm_r2.txt,Direct log extraction,,I,,READY-FOR-REVIEW,,The run log identifies mgm 1.2-15.
PS010-C002,PS010,OUR-OBSERVED,The modern examples_mgm.R execution reached mgmsampler and then terminated with a class-condition error.,evidence/PS010/raw/ps010_e2_examples_mgm_r2.txt,Direct log extraction,,E,,READY-FOR-REVIEW,,Partial execution only.
PS010-C003,PS010,OUR-OBSERVED,Two PDF figures produced by the partial execution were recovered.,evidence/PS010/outputs/Fig_mgm_p4_example.pdf; evidence/PS010/outputs/Fig_mgm_p4_resampling.pdf,Direct artifact inventory,,N,,READY-FOR-REVIEW,,Presence and hashes do not establish full scientific fidelity.
PS010-C004,PS010,OUR-OBSERVED,The historical R 3.6.3 reconstruction encountered an unresolved package dependency cascade.,evidence/PS010/raw/ps010_e3_install_mgm_129.txt,Direct log extraction,,I,,READY-FOR-REVIEW,,Historical reconstruction was stopped without claiming artifact invalidity.
PS010-C005,PS010,INFERENCE,"Modern execution and scientific fidelity are partial, while the historical ecosystem was not fully reconstructable.",evidence/PS010/raw/ps010_e2_examples_mgm_r2.txt; evidence/PS010/raw/ps010_e3_install_mgm_129.txt; evidence/PS010/outputs/Fig_mgm_p4_example.pdf; evidence/PS010/outputs/Fig_mgm_p4_resampling.pdf,Conservative synthesis,,N,,READY-FOR-REVIEW,PS010-C002;PS010-C003;PS010-C004,Do not describe the complete example suite as reproduced.
