claim_id,case_id,label,claim,evidence_references,all_references_exist,transformation,normalized_evidence,matrix_status,claim_status,supporting_claim_ids
PS004-C004,PS004,INFERENCE,PS004 remained partially executable and environment-coupled after the retained portability intervention.,evidence/PS004/interventions/ps004_portability_patch.diff; evidence/PS004/raw/ps004_reproduction_run1.txt,True,Conservative inference,,E=PARTIAL,READY-FOR-REVIEW,PS004-C002;PS004-C003
PS005-C001,PS005,OUR-OBSERVED,The repaired Python 3.6 container installed the pinned dependency set successfully.,evidence/PS005/raw/ps005_build_env02_r1.txt,True,Direct build-log extraction,,I=PASS,READY-FOR-REVIEW,
PS005-C002,PS005,OUR-OBSERVED,"The repaired Yahoo execution completed 67 series and reported aggregate precision 0.526, recall 0.688, and F1 0.556.",evidence/PS005/raw/ps005_run_env02_r1.txt,True,Direct final-log extraction,evidence/PS005/normalized/yahoo_metrics.csv,N=PARTIAL,READY-FOR-REVIEW,
PS005-C003,PS005,OUR-OBSERVED,Two complete per-series metric logs were recovered and have identical content.,evidence/PS005/outputs/ps005_series_metrics_env01.txt; evidence/PS005/outputs/ps005_series_metrics_env02.txt,True,SHA-256 and row comparison,evidence/PS005/normalized/yahoo_metrics.csv,N=PARTIAL,READY-FOR-REVIEW,
PS005-C004,PS005,INFERENCE,"The artifact was executable after dependency repair, while numerical fidelity to the publication remains only partially established.",evidence/PS005/raw/ps005_build_env02_r1.txt; evidence/PS005/raw/ps005_run_env02_r1.txt,True,Conservative inference,,N=PARTIAL,READY-FOR-REVIEW,PS005-C001;PS005-C002
PS006-C001,PS006,OUR-OBSERVED,The retained executions reached initialization and produced program output.,evidence/PS006/raw/ps006_run_ootb01.txt; evidence/PS006/raw/ps006_run_r1.txt,True,Direct log extraction,,E=PARTIAL,READY-FOR-REVIEW,
PS006-C002,PS006,OUR-OBSERVED,The extended retained run repeatedly emitted size less than 3 and input 0 0.,evidence/PS006/raw/ps006_run_r1_900.txt,True,Direct log extraction,,E=PARTIAL,READY-FOR-REVIEW,
PS006-C003,PS006,INFERENCE,PS006 reached executable code but did not retain evidence of a completed end-to-end scientific experiment.,evidence/PS006/raw/ps006_run_r1.txt; evidence/PS006/raw/ps006_run_r1_900.txt,True,Conservative inference,,E=PARTIAL,READY-FOR-REVIEW,PS006-C001;PS006-C002
PS007-C001,PS007,AUTHOR-REPORTED,The executable artifact is a VirtualBox VM because BenchExec does not run in Docker.,evidence/PS007/raw/README.md,True,Direct extraction,,H=UNSAT,READY-FOR-REVIEW,
PS007-C002,PS007,AUTHOR-REPORTED,The artifact documents eight CPU cores and distinct full/reduced resource requirements.,evidence/PS007/raw/README.md,True,Direct extraction,,H=UNSAT,READY-FOR-REVIEW,
PS007-C003,PS007,OUR-OBSERVED,No standalone VM import or startup transcript was recovered.,evidence/MISSING_EVIDENCE.csv,True,Recovery tracker review,,H=UNSAT,TRACE-INCOMPLETE,
PS007-C004,PS007,INFERENCE,The case remains infrastructure-constrained and E is N/A rather than FAIL.,evidence/PS007/raw/README.md; evidence/MISSING_EVIDENCE.csv,True,Conservative prerequisite classification,,E=N/A,READY-FOR-REVIEW,PS007-C001;PS007-C003
PS008-C001,PS008,OUR-OBSERVED,Current selected variants reported PASSED checksum results,evidence/PS008/outputs/current/PS008_CURRENT_FINAL-checksum.txt,True,Direct extraction,evidence/PS008/normalized/selected_results.csv,N=PASS,READY-FOR-REVIEW,
PS008-C002,PS008,OUR-OBSERVED,Historical selected variants had zero checksum differences,evidence/PS008/outputs/historical/PS008_HIST_FINAL-checksum.txt,True,Direct extraction,evidence/PS008/normalized/selected_results.csv,N=PASS,READY-FOR-REVIEW,
PS008-C003,PS008,OUR-OBSERVED,Current Base_Seq runtimes were 0.675188 1.662521 and 0.100516 seconds for DAXPY TRIAD and REDUCE_SUM,evidence/PS008/outputs/current/PS008_CURRENT_FINAL-timing-Average.csv,True,Direct CSV extraction,evidence/PS008/normalized/selected_results.csv,P=PARTIAL,READY-FOR-REVIEW,
PS008-C004,PS008,OUR-OBSERVED,Historical Base_Seq runtimes were 2.010450 5.633594 and 0.268251 seconds for DAXPY TRIAD and REDUCE_SUM,evidence/PS008/outputs/historical/PS008_HIST_FINAL-timing-Average.csv,True,Direct CSV extraction,evidence/PS008/normalized/selected_results.csv,P=PARTIAL,READY-FOR-REVIEW,
PS008-C005,PS008,INFERENCE,Performance values were not preserved across the two reconstructed configurations,evidence/PS008/outputs/current/PS008_CURRENT_FINAL-timing-Average.csv; evidence/PS008/outputs/historical/PS008_HIST_FINAL-timing-Average.csv,True,Conservative paired configuration comparison,evidence/PS008/normalized/selected_results.csv,P=PARTIAL,READY-FOR-REVIEW,PS008-C003;PS008-C004
PS008-C006,PS008,OUR-OBSERVED,The recovered configurations used different RAJAPerf commits,evidence/PS008/environment/repository_states_2026-08-15.txt,True,Direct Git inspection,,A=PASS,READY-FOR-REVIEW,
PS009-C001,PS009,OUR-OBSERVED,Recovered repository working tree identifies commit d31c997580ef1a58c13c69fe02dadcb3e0e95105,evidence/PS009/environment/recovered_repository_inspection_2026-08-15.txt,True,Direct extraction: lines 1-5,,A=PASS,READY-FOR-REVIEW,
PS009-C002,PS009,OUR-OBSERVED,Recovered EP Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_ep_r1.txt,True,Direct extraction: line 30,evidence/PS009/normalized/benchmark_results.csv,N=PASS,READY-FOR-REVIEW,
PS009-C003,PS009,OUR-OBSERVED,Recovered CG Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_cg_r1.txt,True,Direct extraction: lines 23 and 35,evidence/PS009/normalized/benchmark_results.csv,N=PASS,READY-FOR-REVIEW,
PS009-C004,PS009,OUR-OBSERVED,Recovered MG Class S output reported Verification = SUCCESSFUL,evidence/PS009/outputs/ps009_mg_r1.txt,True,Direct extraction: lines 9 and 21,evidence/PS009/normalized/benchmark_results.csv,N=PASS,READY-FOR-REVIEW,
PS009-C005,PS009,INFERENCE,The recovered build required a non-algorithmic portability intervention before successful benchmark execution,evidence/MISSING_EVIDENCE.csv,True,Requires before/after intervention evidence,,B=PASS,TRACE-INCOMPLETE,PS009-C002;PS009-C003;PS009-C004
PS009-C006,PS009,OUR-OBSERVED,The retained OOTB EP build attempt failed while compiling a generated npbparams.hpp with missing terminating quote errors,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,True,Direct extraction: lines 1-112,,B=PASS,READY-FOR-REVIEW,
PS009-C007,PS009,OUR-OBSERVED,The retained OOTB CG build attempt failed while compiling a generated npbparams.hpp with missing terminating quote errors,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,True,Direct extraction: lines 113-224,,B=PASS,READY-FOR-REVIEW,
PS009-C008,PS009,OUR-OBSERVED,No EP executable was present after the retained failed OOTB build attempts,evidence/PS009/raw/ootb_build_ep_cg_terminal_capture.txt,True,Direct extraction: lines 225-229,,E=PASS,READY-FOR-REVIEW,PS009-C006
PS009-C009,PS009,OUR-OBSERVED,The recovered NPB-SER config/make.def matched the Git working-tree version and retained CRLF line endings,evidence/PS009/raw/npb_ser_config_make.def,True,SHA-256 retention; git diff empty; byte scan found 103 CRLF and zero lone LF,,B=PASS,READY-FOR-REVIEW,PS009-C001
PS009-C010,PS009,INFERENCE,The three recovered successful outputs cannot yet be treated as one homogeneous SER execution,evidence/PS009/outputs/ps009_ep_r1.txt; evidence/PS009/outputs/ps009_cg_r1.txt; evidence/PS009/outputs/ps009_mg_r1.txt,True,Compare implementation labels on line 1,evidence/PS009/normalized/benchmark_results.csv,E=PASS;N=PASS,READY-FOR-REVIEW,PS009-C002;PS009-C003;PS009-C004
PS010-C001,PS010,OUR-OBSERVED,The modern installation log ends with DONE (mgm).,evidence/PS010/raw/ps010_e2_install_mgm_r2.txt,True,Direct log extraction,,I=PARTIAL,READY-FOR-REVIEW,
PS010-C002,PS010,OUR-OBSERVED,The modern examples_mgm.R execution reached mgmsampler and then terminated with a class-condition error.,evidence/PS010/raw/ps010_e2_examples_mgm_r2.txt,True,Direct log extraction,,E=PARTIAL,READY-FOR-REVIEW,
PS010-C003,PS010,OUR-OBSERVED,Two PDF figures produced by the partial execution were recovered.,evidence/PS010/outputs/Fig_mgm_p4_example.pdf; evidence/PS010/outputs/Fig_mgm_p4_resampling.pdf,True,Direct artifact inventory,,N=PARTIAL,READY-FOR-REVIEW,
PS010-C004,PS010,OUR-OBSERVED,The historical R 3.6.3 reconstruction encountered an unresolved package dependency cascade.,evidence/PS010/raw/ps010_e3_install_mgm_129.txt,True,Direct log extraction,,I=PARTIAL,READY-FOR-REVIEW,
PS010-C005,PS010,INFERENCE,"Modern execution and scientific fidelity are partial, while the historical ecosystem was not fully reconstructable.",evidence/PS010/raw/ps010_e2_examples_mgm_r2.txt; evidence/PS010/raw/ps010_e3_install_mgm_129.txt; evidence/PS010/outputs/Fig_mgm_p4_example.pdf; evidence/PS010/outputs/Fig_mgm_p4_resampling.pdf,True,Conservative synthesis,,N=PARTIAL,READY-FOR-REVIEW,PS010-C002;PS010-C003;PS010-C004
